epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.348,0.84996,2.61928,2.56632,1.33395,0.00467,0.99248,0.44011,0.23355,0.00457,0.9812,0.43102,0.19326,1.09918,2.60871,3.73318,1.89188,0.00046676,0.00046676,0.00046676
2,536.723,0.95908,2.1819,1.67132,1.41322,0.5243,0.49198,0.49962,0.25434,0.5511,0.46671,0.55902,0.24322,1.22136,4.22287,3.23338,2.19679,0.000940783,0.000940783,0.000940783
3,746.147,1.05797,2.41591,1.58239,1.49901,0.37425,0.43421,0.44182,0.20095,0.34873,0.35902,0.32326,0.10732,1.49862,4.57192,3.48409,2.51936,0.00140523,0.00140523,0.00140523
4,927.862,1.03972,2.30423,1.4289,1.46058,0.35851,0.5771,0.47471,0.19969,0.35522,0.59202,0.46067,0.20123,1.69775,3.01547,3.3984,3.08647,0.00161749,0.00161749,0.00161749
5,1085.4,1.0642,2.35159,1.38467,1.50826,0.45921,0.6466,0.53581,0.23518,0.38692,0.55916,0.40647,0.16727,1.73305,3.58428,2.93009,3.10657,0.00160099,0.00160099,0.00160099
6,1255.82,1.06885,2.37397,1.28683,1.48166,0.2773,0.67094,0.4128,0.18666,0.25919,0.61892,0.39283,0.13248,1.5148,3.78465,7.72397,3.1008,0.00158448,0.00158448,0.00158448
7,1540.35,1.00946,2.24454,1.20807,1.43235,0.47403,0.68985,0.66442,0.36223,0.49735,0.71392,0.66519,0.32697,1.49645,2.20672,2.18763,2.27936,0.00156798,0.00156798,0.00156798
8,1788.79,1.03342,2.27544,1.18886,1.44695,0.5484,0.71237,0.66927,0.34355,0.66944,0.78313,0.76526,0.29902,1.81426,2.33703,2.07378,2.83354,0.00155148,0.00155148,0.00155148
9,2052.98,0.97832,2.26749,1.11997,1.41239,0.77178,0.62081,0.69488,0.38284,0.7451,0.62406,0.68124,0.36356,1.25379,2.32092,1.9771,2.02163,0.00153497,0.00153497,0.00153497
10,2321.84,0.95688,2.2025,1.07464,1.40007,0.53867,0.57438,0.54359,0.32484,0.53158,0.56425,0.5522,0.26682,1.26,2.65555,1.83378,2.08131,0.00151847,0.00151847,0.00151847
