epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1662,0.96833,2.49382,1.56548,0.00389,0.97427,0.56189,0.26987,1.36492,2.89963,2.52815,0.00051677,0.00051677,0.00051677
2,39.4112,1.13065,1.66655,1.65203,0.47832,0.37342,0.45105,0.19734,1.63485,2.42834,3.04421,0.00103981,0.00103981,0.00103981
3,51.0126,1.12731,1.53166,1.64551,0.19154,0.448,0.14854,0.05924,1.60951,2.81371,3.46556,0.00155229,0.00155229,0.00155229
4,62.8543,1.17619,1.46465,1.66771,0.11669,0.29054,0.09261,0.02255,2.6387,3.40771,4.17387,0.00161749,0.00161749,0.00161749
5,75.0512,1.14963,1.30773,1.64795,0.08778,0.02573,0.01312,0.00295,3.20902,7.92272,4.19018,0.00160099,0.00160099,0.00160099
6,86.7941,1.17667,1.26827,1.6722,0.44017,0.49627,0.38022,0.14203,1.92915,2.86941,3.03073,0.00158448,0.00158448,0.00158448
7,98.2014,1.07868,1.16462,1.59168,0.54965,0.6385,0.58201,0.28306,1.70543,1.99867,2.64075,0.00156798,0.00156798,0.00156798
8,110.103,1.05338,1.10968,1.60051,0.12687,0.16929,0.09133,0.03275,2.80411,3.07981,3.53779,0.00155148,0.00155148,0.00155148
9,121.504,1.05015,1.08155,1.58342,0.64933,0.70312,0.73909,0.37573,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,134.316,1.00634,1.032,1.55206,0.87454,0.84196,0.886,0.44205,1.55644,1.30112,2.60559,0.00151847,0.00151847,0.00151847
11,146.384,1.03843,0.9667,1.57221,0.67303,0.58818,0.59632,0.31894,1.70723,2.06533,2.63214,0.00150197,0.00150197,0.00150197
12,157.69,1.04744,0.97371,1.54751,0.84994,0.8235,0.87282,0.50087,1.36158,1.19681,2.52787,0.00148546,0.00148546,0.00148546
13,169.216,1.00909,0.96811,1.55598,0.9404,0.78168,0.90197,0.54732,1.32886,1.07274,2.18078,0.00146896,0.00146896,0.00146896
14,181.561,1.00834,0.96058,1.53638,0.92945,0.86355,0.92623,0.48242,1.45158,1.16173,2.42653,0.00145246,0.00145246,0.00145246
15,193.536,1.02531,0.94341,1.57949,0.79965,0.84379,0.86841,0.49728,1.29824,1.18532,2.12956,0.00143595,0.00143595,0.00143595
16,205.06,0.98322,0.90809,1.51768,0.95654,0.82065,0.9258,0.62217,1.18823,0.8892,2.11853,0.00141945,0.00141945,0.00141945
17,216.624,0.93496,0.83336,1.48947,0.73906,0.76947,0.87278,0.54463,1.27699,1.27687,2.11999,0.00140295,0.00140295,0.00140295
18,228.715,0.97234,0.88397,1.5258,0.95047,0.89174,0.94417,0.63463,1.06213,0.81288,1.84534,0.00138644,0.00138644,0.00138644
19,240.594,0.94674,0.85066,1.49841,0.90851,0.84618,0.91217,0.52447,1.39554,1.12708,2.16562,0.00136994,0.00136994,0.00136994
20,252.204,0.98609,0.83186,1.50867,0.89511,0.7642,0.89778,0.57484,1.26704,0.944,2.07998,0.00135344,0.00135344,0.00135344
21,264.525,0.94941,0.81966,1.49415,0.84853,0.92281,0.92168,0.62048,1.12021,0.83011,1.95697,0.00133693,0.00133693,0.00133693
22,276.073,0.91363,0.79153,1.46661,0.91109,0.9298,0.93871,0.62382,1.19993,0.85684,2.2669,0.00132043,0.00132043,0.00132043
23,287.66,0.94209,0.79459,1.50466,0.97325,0.90734,0.94741,0.62552,1.10974,0.815,1.95066,0.00130393,0.00130393,0.00130393
24,299.137,0.90011,0.78764,1.46149,0.90783,0.9349,0.93662,0.65331,1.08446,0.86315,1.85856,0.00128742,0.00128742,0.00128742
25,312.905,0.88792,0.7529,1.45258,0.98181,0.91897,0.94847,0.66889,1.02086,0.74463,1.89283,0.00127092,0.00127092,0.00127092
26,326.209,0.87233,0.7279,1.45407,0.93884,0.81384,0.89579,0.58393,1.12119,0.92933,1.96371,0.00125442,0.00125442,0.00125442
27,338.442,0.93162,0.77384,1.47501,0.99246,0.90863,0.95007,0.70484,0.9881,0.67359,1.78971,0.00123791,0.00123791,0.00123791
28,350.182,0.86808,0.73447,1.44574,0.95894,0.91398,0.94411,0.65471,1.08963,0.75465,2.01263,0.00122141,0.00122141,0.00122141
29,362.23,0.86068,0.71187,1.44294,0.94271,0.92976,0.94545,0.69577,1.0392,0.69046,1.84868,0.00120491,0.00120491,0.00120491
30,374.262,0.87051,0.72675,1.4273,0.90074,0.9293,0.94515,0.68715,0.98909,0.76813,1.81648,0.0011884,0.0011884,0.0011884
31,390.91,0.85879,0.72126,1.42761,0.94689,0.91718,0.95347,0.63067,1.09233,0.77973,1.91855,0.0011719,0.0011719,0.0011719
32,406.753,0.83442,0.70418,1.42369,0.97431,0.93682,0.95165,0.66456,1.03884,0.64147,1.82688,0.0011554,0.0011554,0.0011554
33,419.225,0.82718,0.69033,1.41665,0.9579,0.93217,0.95495,0.67908,1.00812,0.65119,1.74558,0.00113889,0.00113889,0.00113889
34,430.577,0.86571,0.72053,1.43133,0.9281,0.91773,0.94953,0.6794,1.08169,0.7501,1.81684,0.00112239,0.00112239,0.00112239
35,442.077,0.83498,0.72342,1.42246,0.93028,0.9131,0.94113,0.64702,1.06246,0.78908,1.83516,0.00110589,0.00110589,0.00110589
36,453.647,0.84035,0.71342,1.41355,0.91492,0.93232,0.95599,0.69511,0.92858,0.63516,1.72461,0.00108938,0.00108938,0.00108938
37,465.427,0.8158,0.67307,1.39957,0.91594,0.91521,0.94831,0.70902,0.96274,0.63399,1.76183,0.00107288,0.00107288,0.00107288
38,478.44,0.8277,0.66274,1.41386,0.98299,0.93689,0.96534,0.70816,0.9909,0.60768,1.73684,0.00105638,0.00105638,0.00105638
39,489.843,0.82412,0.65103,1.40669,0.97167,0.91704,0.95985,0.70309,0.96924,0.61036,1.776,0.00103987,0.00103987,0.00103987
40,503.401,0.81506,0.65254,1.37144,0.97933,0.94469,0.9644,0.69127,0.99413,0.60201,1.79686,0.00102337,0.00102337,0.00102337
41,516.294,0.81846,0.63571,1.41333,0.98222,0.92114,0.96376,0.68754,1.00062,0.657,1.81313,0.00100687,0.00100687,0.00100687
42,527.966,0.78613,0.64941,1.38629,0.9855,0.96246,0.96695,0.70203,0.93867,0.59861,1.70566,0.000990365,0.000990365,0.000990365
43,539.742,0.79432,0.62735,1.36903,0.96963,0.92545,0.96195,0.66834,1.00416,0.63317,1.7944,0.000973861,0.000973861,0.000973861
44,552.877,0.81055,0.66518,1.40846,0.97556,0.9305,0.96232,0.65881,1.08664,0.64616,1.83151,0.000957358,0.000957358,0.000957358
45,564.187,0.77157,0.5998,1.36395,0.95723,0.95458,0.95714,0.70702,0.95771,0.61345,1.76449,0.000940855,0.000940855,0.000940855
46,575.731,0.77021,0.60238,1.36526,0.95805,0.93778,0.96028,0.70735,0.92644,0.55053,1.68513,0.000924352,0.000924352,0.000924352
47,587.728,0.78637,0.61083,1.37231,0.98984,0.93211,0.96247,0.7005,0.96155,0.59134,1.68153,0.000907848,0.000907848,0.000907848
48,599.438,0.7613,0.59179,1.35352,0.95993,0.95065,0.96081,0.7204,0.91467,0.56293,1.74893,0.000891345,0.000891345,0.000891345
49,611.467,0.76732,0.60345,1.35346,0.96076,0.94498,0.95739,0.69877,0.92977,0.59665,1.74267,0.000874842,0.000874842,0.000874842
50,623.06,0.7404,0.57925,1.34462,0.98249,0.93096,0.96299,0.71413,0.97978,0.57758,1.73398,0.000858338,0.000858338,0.000858338
51,634.684,0.77029,0.57204,1.36562,0.9624,0.94671,0.96071,0.74365,0.87155,0.52932,1.63136,0.000841835,0.000841835,0.000841835
52,647.001,0.73516,0.56555,1.32222,0.98038,0.94304,0.96454,0.71402,0.9502,0.56925,1.7213,0.000825332,0.000825332,0.000825332
53,658.704,0.78748,0.57097,1.37262,0.98466,0.92492,0.96469,0.73414,0.86874,0.56103,1.65962,0.000808828,0.000808828,0.000808828
54,670.498,0.73653,0.58558,1.33357,0.98169,0.93096,0.9612,0.74312,0.84896,0.53239,1.61508,0.000792325,0.000792325,0.000792325
55,682.424,0.76524,0.56811,1.36219,0.98577,0.93968,0.9613,0.7203,0.91043,0.60124,1.75394,0.000775822,0.000775822,0.000775822
56,694.08,0.76382,0.59763,1.34659,0.98922,0.93483,0.9615,0.74913,0.87033,0.533,1.64724,0.000759318,0.000759318,0.000759318
57,705.96,0.73067,0.54903,1.32684,0.98557,0.92309,0.96049,0.74298,0.91732,0.53467,1.69274,0.000742815,0.000742815,0.000742815
58,717.714,0.70456,0.54891,1.30396,0.98112,0.93884,0.96448,0.73068,0.89969,0.54213,1.65124,0.000726312,0.000726312,0.000726312
59,729.593,0.70504,0.55094,1.30392,0.97979,0.93763,0.96147,0.71519,0.92515,0.55109,1.7082,0.000709809,0.000709809,0.000709809
60,741.761,0.7112,0.56828,1.31151,0.97138,0.91522,0.95477,0.74546,0.8703,0.57019,1.65842,0.000693305,0.000693305,0.000693305
61,753.593,0.6865,0.53134,1.30751,0.98791,0.94194,0.95701,0.73549,0.8916,0.55336,1.67439,0.000676802,0.000676802,0.000676802
62,765.113,0.7151,0.5273,1.32851,0.97598,0.94701,0.9618,0.76242,0.85257,0.5104,1.60846,0.000660299,0.000660299,0.000660299
63,777.216,0.70939,0.53613,1.30313,0.97534,0.94489,0.96619,0.73082,0.8557,0.52386,1.65158,0.000643795,0.000643795,0.000643795
64,790.328,0.67907,0.51846,1.30142,0.99056,0.953,0.9678,0.74752,0.8666,0.54245,1.66533,0.000627292,0.000627292,0.000627292
65,801.721,0.71675,0.54023,1.31643,0.98926,0.9344,0.96218,0.75686,0.88291,0.53727,1.66556,0.000610789,0.000610789,0.000610789
