epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1333.46,0.79384,1.86983,1.32047,0.00339,1,0.81446,0.50596,0.86119,2.67917,1.55102,0.00058,0.00058,0.00058
2,1887.03,0.91412,1.27017,1.36265,0.74517,0.62319,0.72663,0.35347,1.35809,2.42841,2.94027,0.00116832,0.00116832,0.00116832
3,2186.83,0.9771,1.24669,1.41568,0.20757,0.2623,0.1385,0.03491,2.50345,3.48331,3.42769,0.00174476,0.00174476,0.00174476
4,2554.57,1.06004,1.17902,1.45356,0.44077,0.55738,0.4222,0.23045,1.4544,2.52398,2.72349,0.0019406,0.0019406,0.0019406
5,2761.53,0.95924,1.05731,1.39817,0.60648,0.50535,0.52281,0.19983,2.0661,2.47677,3.13764,0.0019208,0.0019208,0.0019208
6,3053.71,0.94978,0.96745,1.38401,0.86821,0.85246,0.86708,0.65454,1.12488,1.45069,1.89646,0.001901,0.001901,0.001901
7,3266.79,0.92632,0.94138,1.37475,0.74821,0.86885,0.87045,0.63065,0.87052,1.65831,1.52918,0.0018812,0.0018812,0.0018812
8,3423.99,0.92234,0.89535,1.38137,0.93887,0.85246,0.95097,0.6003,0.98104,1.43673,1.61504,0.0018614,0.0018614,0.0018614
9,3592.73,0.89106,0.83302,1.33397,0.89936,0.83607,0.90574,0.70657,0.84046,1.1527,1.41985,0.0018416,0.0018416,0.0018416
10,3732.57,0.90608,0.7822,1.3348,0.83893,0.68314,0.78995,0.50359,1.26885,1.30072,1.74571,0.0018218,0.0018218,0.0018218
11,3874.08,0.85693,0.76503,1.30474,0.93074,0.86885,0.96483,0.70967,0.85313,1.19486,1.3474,0.001802,0.001802,0.001802
12,4013.23,0.80677,0.70764,1.2731,0.99709,0.96721,0.98688,0.84301,0.60804,0.52826,1.1257,0.0017822,0.0017822,0.0017822
