epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.333,0.80099,2.0974,1.33151,0.00339,1,0.78617,0.35998,1.55018,3.01211,1.92185,0.00058,0.00058,0.00058
2,295.561,0.84868,1.27426,1.33024,0.46553,0.57377,0.51519,0.19041,1.44381,2.66542,2.21323,0.00116832,0.00116832,0.00116832
3,405.715,0.93433,1.19889,1.37941,0.54624,0.47365,0.47741,0.27989,1.11729,2.38844,1.97912,0.00174476,0.00174476,0.00174476
4,491.647,0.93419,1.12005,1.37462,0.52381,0.2623,0.23481,0.05746,3.45286,4.20853,4.59226,0.0019406,0.0019406,0.0019406
5,583.261,0.89901,1.02768,1.36283,0.54178,0.88525,0.63331,0.44063,1.02399,2.9932,1.80508,0.0019208,0.0019208,0.0019208
6,686.498,0.91126,0.95451,1.3502,0.56962,0.75944,0.7186,0.5136,1.00254,1.88182,1.56529,0.001901,0.001901,0.001901
7,764.93,0.90276,0.90319,1.34964,0.85036,0.74535,0.85493,0.47313,1.31976,1.63384,1.84898,0.0018812,0.0018812,0.0018812
8,849.391,0.8367,0.7929,1.31777,0.7358,0.86747,0.86996,0.61134,0.98408,1.23027,1.58599,0.0018614,0.0018614,0.0018614
9,947.373,0.82433,0.75813,1.27578,0.94608,0.93443,0.95131,0.67341,1.12322,0.80884,1.99593,0.0018416,0.0018416,0.0018416
10,1036.84,0.79754,0.70686,1.27267,0.96587,0.9279,0.94302,0.7452,0.86936,0.74253,1.47394,0.0018218,0.0018218,0.0018218
11,1114.53,0.75817,0.67415,1.24217,0.95494,0.86885,0.97056,0.70077,0.90947,0.99259,1.4435,0.001802,0.001802,0.001802
12,1189.58,0.79294,0.69527,1.25289,0.90695,0.95878,0.96948,0.75089,0.81388,0.70166,1.31811,0.0017822,0.0017822,0.0017822
13,1266.71,0.7389,0.63337,1.22041,0.96703,0.96167,0.97761,0.79476,0.73399,0.53969,1.37375,0.0017624,0.0017624,0.0017624
14,1342.67,0.78247,0.64331,1.24681,0.79146,0.87109,0.90473,0.70363,0.81832,0.81619,1.28384,0.0017426,0.0017426,0.0017426
15,1419.87,0.76632,0.61685,1.2406,0.96424,0.98361,0.99087,0.83034,0.68743,0.63005,1.18831,0.0017228,0.0017228,0.0017228
16,1497.4,0.72255,0.61797,1.1945,0.8849,0.90164,0.95449,0.77063,0.75693,0.70019,1.24162,0.001703,0.001703,0.001703
17,1580.28,0.71139,0.55993,1.19534,0.98174,0.98361,0.9942,0.88277,0.54447,0.45292,1.01725,0.0016832,0.0016832,0.0016832
18,1659.35,0.68338,0.56052,1.17789,0.99709,0.91803,0.98292,0.79026,0.72759,0.60681,1.26261,0.0016634,0.0016634,0.0016634
19,1735.33,0.68904,0.53112,1.18909,0.98189,1,0.99403,0.84692,0.62719,0.42683,1.1663,0.0016436,0.0016436,0.0016436
20,1810.06,0.68389,0.52524,1.17274,0.9347,0.93862,0.98009,0.82808,0.62355,0.61738,1.13606,0.0016238,0.0016238,0.0016238
21,1886.21,0.65993,0.52501,1.16578,0.97965,0.96721,0.98993,0.86601,0.55872,0.43897,1.03999,0.001604,0.001604,0.001604
22,1960.27,0.68462,0.52824,1.19831,0.95747,0.90164,0.97673,0.82233,0.668,0.58158,1.14553,0.0015842,0.0015842,0.0015842
23,2034.3,0.66251,0.51177,1.16969,0.91776,0.98361,0.98379,0.80359,0.70367,0.51014,1.22363,0.0015644,0.0015644,0.0015644
24,2109.52,0.67082,0.52091,1.1655,0.90848,1,0.98542,0.86111,0.57213,0.65574,1.04485,0.0015446,0.0015446,0.0015446
25,2183.77,0.66235,0.52418,1.188,0.98384,0.99835,0.99435,0.85411,0.59463,0.42873,1.08948,0.0015248,0.0015248,0.0015248
26,2258.73,0.64634,0.4973,1.17207,0.96815,0.99656,0.99386,0.88607,0.51499,0.35686,0.99378,0.001505,0.001505,0.001505
27,2335.54,0.63093,0.48952,1.15124,0.95308,0.99904,0.99372,0.87573,0.56834,0.41638,1.06357,0.0014852,0.0014852,0.0014852
28,2415.25,0.64697,0.49138,1.15264,0.98149,1,0.99435,0.86457,0.54092,0.39078,0.99557,0.0014654,0.0014654,0.0014654
29,2490.76,0.655,0.49928,1.14973,0.96551,0.9179,0.96572,0.82678,0.62311,0.53413,1.14113,0.0014456,0.0014456,0.0014456
30,2571.79,0.62152,0.46809,1.1352,1,0.99784,0.995,0.885,0.53851,0.36047,1.00255,0.0014258,0.0014258,0.0014258
31,2648.01,0.62003,0.47148,1.13838,0.99326,1,0.995,0.8947,0.5337,0.34545,0.98313,0.001406,0.001406,0.001406
32,2721.24,0.63633,0.472,1.15041,0.99712,1,0.995,0.87931,0.57618,0.3715,1.08281,0.0013862,0.0013862,0.0013862
33,2795.34,0.60865,0.46251,1.12547,0.96566,1,0.99452,0.88441,0.52688,0.36534,1.02098,0.0013664,0.0013664,0.0013664
34,2871.11,0.59735,0.4481,1.13929,0.98358,0.98212,0.99435,0.85537,0.56431,0.43666,1.07163,0.0013466,0.0013466,0.0013466
35,2948.43,0.58011,0.43569,1.11537,0.98317,1,0.99452,0.89844,0.48594,0.35252,0.97273,0.0013268,0.0013268,0.0013268
36,3025.66,0.56309,0.42125,1.11305,0.98035,1,0.99452,0.90406,0.48262,0.33779,0.96394,0.001307,0.001307,0.001307
37,3102.87,0.58479,0.43093,1.12227,0.98999,0.98361,0.99484,0.9018,0.48065,0.31799,0.94293,0.0012872,0.0012872,0.0012872
38,3177.54,0.60188,0.43964,1.11857,0.98383,0.99718,0.99435,0.90669,0.45953,0.31001,0.92174,0.0012674,0.0012674,0.0012674
39,3257.84,0.60485,0.43469,1.13719,0.99679,0.98361,0.9941,0.89386,0.48735,0.33082,0.95228,0.0012476,0.0012476,0.0012476
40,3336.97,0.61139,0.43091,1.12803,0.95613,0.93443,0.98611,0.87312,0.54002,0.44316,1.02828,0.0012278,0.0012278,0.0012278
41,3415.12,0.56,0.41359,1.12224,0.98281,1,0.99452,0.90421,0.45872,0.32837,0.95716,0.001208,0.001208,0.001208
42,3498.33,0.57645,0.43469,1.11263,1,0.99774,0.995,0.91497,0.42044,0.28058,0.90391,0.0011882,0.0011882,0.0011882
43,3587.51,0.57796,0.41395,1.11082,0.97336,0.98361,0.99322,0.85253,0.55641,0.40562,1.05594,0.0011684,0.0011684,0.0011684
44,3676.61,0.54685,0.40326,1.08742,1,0.99674,0.995,0.91288,0.49034,0.31593,0.99104,0.0011486,0.0011486,0.0011486
45,3762.65,0.5511,0.39627,1.10535,1,0.99728,0.995,0.92177,0.42705,0.30499,0.91031,0.0011288,0.0011288,0.0011288
46,3848.83,0.56638,0.39903,1.10777,0.98357,0.98142,0.99351,0.9118,0.48256,0.33362,0.96474,0.001109,0.001109,0.001109
47,3936.95,0.54436,0.38401,1.07953,0.99477,0.98361,0.99453,0.9048,0.46164,0.33261,0.93002,0.0010892,0.0010892,0.0010892
48,4022.81,0.53626,0.39215,1.09364,0.99866,1,0.995,0.9121,0.48305,0.34213,0.94948,0.0010694,0.0010694,0.0010694
49,4124.32,0.53525,0.3852,1.08831,0.99824,1,0.995,0.9163,0.48802,0.30083,0.9377,0.0010496,0.0010496,0.0010496
50,4206.56,0.51385,0.39486,1.07704,1,0.98284,0.99371,0.9312,0.418,0.2741,0.89012,0.0010298,0.0010298,0.0010298
51,4282.79,0.51198,0.36671,1.07729,0.98095,1,0.99435,0.92302,0.41577,0.29372,0.88559,0.00101,0.00101,0.00101
52,4363.62,0.52772,0.38153,1.09705,0.964,0.98361,0.99372,0.90333,0.4328,0.31655,0.89835,0.0009902,0.0009902,0.0009902
53,4448.5,0.54572,0.38659,1.10291,0.99899,1,0.995,0.93017,0.42451,0.27594,0.89242,0.0009704,0.0009704,0.0009704
54,4533.67,0.50917,0.36526,1.04805,0.99898,1,0.995,0.91998,0.41904,0.26858,0.90785,0.0009506,0.0009506,0.0009506
55,4621.73,0.51966,0.36795,1.07532,0.98273,1,0.99452,0.91446,0.40613,0.26837,0.87736,0.0009308,0.0009308,0.0009308
56,4703.62,0.4894,0.35512,1.0662,0.99373,1,0.995,0.93533,0.4256,0.27541,0.89361,0.000911,0.000911,0.000911
57,4789.59,0.48971,0.34314,1.07161,0.99719,1,0.995,0.94253,0.41872,0.28677,0.88547,0.0008912,0.0008912,0.0008912
58,4878.43,0.48601,0.34999,1.05787,0.96332,1,0.99158,0.91847,0.42352,0.30932,0.91645,0.0008714,0.0008714,0.0008714
59,4962.51,0.52102,0.34565,1.07467,0.99906,1,0.995,0.91806,0.42076,0.26515,0.89566,0.0008516,0.0008516,0.0008516
60,5048.06,0.49401,0.34074,1.05159,0.99871,1,0.995,0.93674,0.37239,0.25987,0.86397,0.0008318,0.0008318,0.0008318
61,5131.24,0.46824,0.32679,1.04415,0.99911,1,0.995,0.93332,0.39095,0.25185,0.84737,0.000812,0.000812,0.000812
62,5210.03,0.48666,0.33972,1.05088,0.97418,0.98361,0.99375,0.93374,0.38989,0.29623,0.86487,0.0007922,0.0007922,0.0007922
63,5293.41,0.48873,0.35326,1.05179,0.99874,1,0.995,0.92791,0.41017,0.26656,0.86261,0.0007724,0.0007724,0.0007724
64,5379.65,0.48277,0.34383,1.05534,0.9985,1,0.995,0.92491,0.43739,0.28278,0.91034,0.0007526,0.0007526,0.0007526
65,5467.12,0.44476,0.31713,1.0263,0.99811,1,0.995,0.94533,0.40639,0.25102,0.86782,0.0007328,0.0007328,0.0007328
66,5554.97,0.45515,0.32331,1.03539,0.99677,1,0.995,0.92808,0.43607,0.27018,0.90124,0.000713,0.000713,0.000713
67,5645.03,0.45889,0.32693,1.04346,0.99688,1,0.995,0.92267,0.47375,0.26491,0.91715,0.0006932,0.0006932,0.0006932
68,5729.54,0.46782,0.32804,1.04347,1,0.99695,0.995,0.93515,0.39997,0.26038,0.85653,0.0006734,0.0006734,0.0006734
69,5808.09,0.46098,0.31671,1.0493,0.999,1,0.995,0.94113,0.3785,0.24642,0.84569,0.0006536,0.0006536,0.0006536
70,5890,0.43799,0.30998,1.03306,0.99918,1,0.995,0.92417,0.40241,0.25249,0.85585,0.0006338,0.0006338,0.0006338
71,5974.44,0.44271,0.30994,1.03831,0.99906,1,0.995,0.93195,0.383,0.23876,0.84535,0.000614,0.000614,0.000614
72,6053.75,0.47915,0.3202,1.0372,0.999,1,0.995,0.92264,0.39903,0.25948,0.85546,0.0005942,0.0005942,0.0005942
73,6131.08,0.42552,0.30422,1.01854,0.99839,1,0.995,0.94246,0.38097,0.25401,0.83386,0.0005744,0.0005744,0.0005744
74,6209.51,0.43867,0.31206,1.03347,0.99843,1,0.995,0.93613,0.39564,0.24198,0.88364,0.0005546,0.0005546,0.0005546
75,6284.99,0.41069,0.29026,1.01982,0.99835,1,0.995,0.94012,0.37815,0.24915,0.84635,0.0005348,0.0005348,0.0005348
76,6359.97,0.41366,0.29878,1.02554,1,0.99964,0.995,0.94132,0.37132,0.23194,0.82641,0.000515,0.000515,0.000515
77,6434.87,0.42353,0.30101,1.01594,0.98206,1,0.99484,0.93428,0.38422,0.24441,0.83674,0.0004952,0.0004952,0.0004952
78,6509.89,0.41929,0.30125,1.02481,0.99493,1,0.995,0.94437,0.35896,0.2496,0.82838,0.0004754,0.0004754,0.0004754
79,6585.41,0.4364,0.30341,1.02935,0.99491,1,0.995,0.9433,0.36805,0.23253,0.83609,0.0004556,0.0004556,0.0004556
80,6662.32,0.43264,0.30433,1.03539,0.99916,1,0.995,0.92951,0.4047,0.21759,0.87815,0.0004358,0.0004358,0.0004358
81,6738.2,0.41706,0.2978,1.02049,0.99866,1,0.995,0.93104,0.39609,0.2343,0.8586,0.000416,0.000416,0.000416
82,6815.41,0.40983,0.28357,1.00277,0.99669,1,0.995,0.92312,0.40453,0.26585,0.86959,0.0003962,0.0003962,0.0003962
83,6892.99,0.42496,0.2893,1.01796,0.99971,1,0.995,0.93123,0.37089,0.24662,0.82468,0.0003764,0.0003764,0.0003764
84,6967.8,0.40219,0.27771,1.01758,0.99937,1,0.995,0.94085,0.35247,0.23205,0.8153,0.0003566,0.0003566,0.0003566
85,7042.03,0.39404,0.27317,0.99746,0.99778,1,0.995,0.94735,0.35219,0.22883,0.81202,0.0003368,0.0003368,0.0003368
86,7120.34,0.3713,0.26795,0.99045,0.99744,1,0.995,0.95718,0.34752,0.2289,0.81098,0.000317,0.000317,0.000317
87,7196.26,0.38813,0.27836,1.00096,0.99883,1,0.995,0.95278,0.34501,0.22242,0.82982,0.0002972,0.0002972,0.0002972
88,7271.61,0.40608,0.28571,1.00767,0.99697,1,0.995,0.95053,0.34634,0.216,0.82859,0.0002774,0.0002774,0.0002774
89,7346.36,0.3863,0.26923,1.0016,0.99727,1,0.995,0.95425,0.34389,0.22803,0.8236,0.0002576,0.0002576,0.0002576
90,7421.39,0.37415,0.26279,0.98837,0.99896,1,0.995,0.95389,0.3565,0.23163,0.82497,0.0002378,0.0002378,0.0002378
91,7495.01,0.33083,0.31361,0.97928,0.99869,1,0.995,0.95041,0.35997,0.21938,0.83614,0.000218,0.000218,0.000218
92,7570.86,0.30175,0.23265,0.93076,0.99727,1,0.995,0.94619,0.35551,0.23098,0.84351,0.0001982,0.0001982,0.0001982
93,7644,0.29842,0.22501,0.94452,0.99812,1,0.995,0.94892,0.3674,0.2241,0.84863,0.0001784,0.0001784,0.0001784
94,7717.53,0.29638,0.21558,0.93495,0.99797,1,0.995,0.9375,0.35602,0.22105,0.83287,0.0001586,0.0001586,0.0001586
95,7792.79,0.28911,0.21848,0.93658,0.99849,1,0.995,0.93854,0.36827,0.21935,0.83716,0.0001388,0.0001388,0.0001388
96,7878,0.28487,0.21477,0.91636,0.99836,1,0.995,0.94539,0.35997,0.21372,0.8225,0.000119,0.000119,0.000119
97,7962.1,0.27041,0.20176,0.92845,0.99829,1,0.995,0.94582,0.35831,0.21708,0.82013,9.92e-05,9.92e-05,9.92e-05
98,8038.16,0.26204,0.19351,0.90922,0.99828,1,0.995,0.93844,0.35367,0.21322,0.81706,7.94e-05,7.94e-05,7.94e-05
99,8114.37,0.2706,0.20181,0.91049,0.99821,1,0.995,0.93791,0.35274,0.20979,0.81735,5.96e-05,5.96e-05,5.96e-05
100,8190.15,0.2565,0.19079,0.91013,0.99856,1,0.995,0.94237,0.35413,0.21142,0.81798,3.98e-05,3.98e-05,3.98e-05
